iter	RMSE
0	18.47884887
1	18.14005102
2	17.80619369
3	17.49464859
4	17.18530082
5	16.88776009
6	16.59715953
7	16.32163886
8	16.05743513
9	15.79842824
10	15.55369864
11	15.31611335
12	15.08880549
13	14.86586693
14	14.657659
15	14.4566803
16	14.25424837
17	14.06250786
18	13.87592387
19	13.69735088
20	13.52754734
21	13.36358941
22	13.20517982
23	13.05042093
24	12.90122386
25	12.75589419
26	12.6217125
27	12.4900205
28	12.36307925
29	12.23965249
30	12.11880613
31	12.00477974
32	11.89557807
33	11.79013362
34	11.68871544
35	11.59253741
36	11.49699701
37	11.40690517
38	11.31792627
39	11.2330813
40	11.14977859
41	11.06956978
42	10.99168841
43	10.9168105
44	10.84491587
45	10.77715683
46	10.71092167
47	10.64694339
48	10.58650278
49	10.52636472
50	10.46981004
51	10.41385052
52	10.36049631
53	10.30874551
54	10.25879005
55	10.2093235
56	10.16251775
57	10.11799514
58	10.07602584
59	10.03519026
60	9.995007481
61	9.955406858
62	9.918092281
63	9.881465095
64	9.847197403
65	9.81445996
66	9.781771049
67	9.751916231
68	9.721490865
69	9.69230411
70	9.663763313
71	9.636837693
72	9.611087066
73	9.585638415
74	9.561312432
75	9.538387298
76	9.515024244
77	9.493132045
78	9.47243223
79	9.452021255
80	9.432608431
81	9.413293408
82	9.395050574
83	9.376906965
84	9.359991662
85	9.343105079
86	9.32729962
87	9.311687624
88	9.296326691
89	9.281774998
90	9.267575042
91	9.253868486
92	9.241000092
93	9.227943971
94	9.215336276
95	9.203223143
96	9.192298315
97	9.181149936
98	9.170515393
99	9.160073036
100	9.150329124
101	9.140340642
102	9.130700941
103	9.121716817
104	9.112855587
105	9.104049361
106	9.095796072
107	9.088143618
108	9.080401199
109	9.073409609
110	9.065953394
111	9.058895673
112	9.052095028
113	9.04550276
114	9.039022383
115	9.033075045
116	9.02715916
117	9.021257012
118	9.015800916
119	9.010478103
120	9.005168249
121	9.000160775
122	8.995139336
123	8.99038711
124	8.985614883
125	8.981242516
126	8.976617231
127	8.972278246
128	8.968124276
129	8.963992375
130	8.960386098
131	8.956657825
132	8.95305153
133	8.949484508
134	8.945880356
135	8.942603967
136	8.939356586
137	8.936287882
138	8.9331126
139	8.930223582
140	8.927367508
141	8.924560414
142	8.921833056
143	8.919117983
144	8.916565925
145	8.914187961
146	8.911637892
147	8.909094035
148	8.906733044
149	8.904491208
150	8.902136689
151	8.900053717
152	8.898111662
153	8.89621472
154	8.894062878
155	8.892007494
156	8.890339212
157	8.888466087
158	8.886556628
159	8.884902027
160	8.883141917
161	8.881586325
162	8.879972554
163	8.878330718
164	8.876872987
165	8.875389572
166	8.874039007
167	8.872659519
168	8.871246187
169	8.870037166
170	8.868631371
171	8.867391772
172	8.866132951
173	8.864987931
